Wavelength,AUS1,ICE1,KUW1,NIG1,SAH1,OAH1,SAN1
300,0.018010781,0.012648501,0.006442334,0.009514716,0.007446877,0.028818295,0.028445828
301,0.018078764,0.012624818,0.006370971,0.009492979,0.007414841,0.028889545,0.028178318
302,0.018146002,0.012588524,0.0062895,0.009475935,0.007384312,0.028964264,0.027925816
303,0.018208488,0.012544091,0.006200847,0.009465518,0.007354426,0.029020611,0.027682381
304,0.018241133,0.012484203,0.006119933,0.009464433,0.007321908,0.029064077,0.027424143
305,0.018251049,0.012400986,0.006047773,0.009468033,0.00729188,0.029094537,0.02716081
306,0.018266777,0.012304366,0.005997868,0.009467311,0.007265816,0.029103212,0.026886398
307,0.018281406,0.01220906,0.005956245,0.009462653,0.007240699,0.029099684,0.02659434
308,0.01830176,0.012123867,0.005922244,0.00945355,0.007219172,0.029100146,0.026298697
309,0.018346333,0.012059535,0.005882097,0.009434038,0.007202303,0.029091815,0.026018805
310,0.018411272,0.012019408,0.00583849,0.009413895,0.00718568,0.029083378,0.025756629
311,0.018466065,0.011992231,0.005780559,0.009399158,0.007167179,0.029076712,0.025502948
312,0.018508966,0.011963172,0.005724739,0.009386722,0.00715477,0.02907522,0.025254524
313,0.018550109,0.011930554,0.005668076,0.009378443,0.007144324,0.029077449,0.024993505
314,0.018571074,0.011889448,0.005616926,0.009377786,0.007133169,0.029098557,0.024707407
315,0.01856934,0.011835377,0.005569917,0.00937433,0.007122428,0.029130958,0.024402175
316,0.018567386,0.011773235,0.005534242,0.00936478,0.007111656,0.029179328,0.024106774
317,0.018580112,0.011725524,0.005497048,0.009351084,0.00708753,0.029241532,0.023791351
318,0.018589693,0.011686038,0.005462308,0.009327729,0.007052813,0.029310434,0.023485149
319,0.018610082,0.011656895,0.005425435,0.009296445,0.007012356,0.029369785,0.023214229
320,0.018647637,0.011656839,0.005384661,0.009263166,0.006967174,0.029422768,0.022959305
321,0.018688961,0.011684606,0.005327096,0.009231505,0.006917644,0.029458319,0.022720184
322,0.018715897,0.011706724,0.005260351,0.009199866,0.006876067,0.029475113,0.022544451
323,0.018736157,0.011718058,0.005179704,0.00917591,0.006838843,0.029477448,0.022412957
324,0.018751564,0.011717036,0.005094339,0.009159,0.006804396,0.029483325,0.022281049
325,0.018762932,0.01167615,0.005004249,0.00914981,0.00677305,0.029490435,0.022173771
326,0.018772809,0.011598392,0.004930543,0.009146949,0.006748018,0.029500363,0.022061985
327,0.018788608,0.011515081,0.004870752,0.009149865,0.006724358,0.029517272,0.021933604
328,0.018807789,0.011444908,0.004831383,0.009153492,0.006709447,0.029545769,0.021761328
329,0.018818224,0.011396856,0.004797326,0.009154178,0.006703627,0.029567753,0.02158268
330,0.018812343,0.011387041,0.004774943,0.009149424,0.006705992,0.029578601,0.021370055
331,0.018798039,0.011409145,0.004744668,0.009136808,0.006713732,0.02959375,0.021136279
332,0.018771208,0.011456431,0.004704553,0.009121326,0.00672037,0.029601057,0.020874373
333,0.018746863,0.011510569,0.004647875,0.009107229,0.006717112,0.029593645,0.020649462
334,0.018744078,0.011551509,0.004587157,0.009096803,0.006701079,0.029587663,0.020441568
335,0.01877101,0.011574494,0.004520082,0.009092401,0.006672167,0.029593609,0.020277803
336,0.018818527,0.011584927,0.004457698,0.009096425,0.00662902,0.029600275,0.020163595
337,0.018897134,0.011559868,0.004407783,0.009103799,0.006586182,0.029622676,0.020082773
338,0.018986226,0.011513356,0.00437763,0.009108918,0.006549545,0.029668684,0.019970415
339,0.01906549,0.011461417,0.004363247,0.009112469,0.006523048,0.029728109,0.019818673
340,0.019132323,0.01140592,0.004356763,0.009114452,0.006508113,0.029795141,0.019591003
341,0.019189495,0.011349682,0.004355293,0.009115166,0.006508468,0.029872516,0.019280495
342,0.019228974,0.011322112,0.00434835,0.009112988,0.006512556,0.029953739,0.018924296
343,0.019257488,0.011303354,0.004329897,0.009111054,0.006515122,0.030024607,0.018573525
344,0.019280936,0.011289315,0.004305223,0.009109457,0.006511164,0.030086064,0.01827069
345,0.019298365,0.011280235,0.004275129,0.009103544,0.006496728,0.030136159,0.018057125
346,0.019308992,0.011271305,0.004238216,0.009095191,0.006469325,0.030173548,0.017954324
347,0.019318258,0.011247597,0.004203387,0.009088326,0.006431565,0.03019478,0.017936068
348,0.019331115,0.011231592,0.004169129,0.00908202,0.006392531,0.030213329,0.017966254
349,0.019354045,0.011228826,0.004126004,0.009075272,0.006357944,0.030240304,0.017996964
350,0.019387139,0.011237536,0.004085124,0.009071165,0.00633324,0.030289257,0.01801429
351,0.019433078,0.011255914,0.004050088,0.009060467,0.006319762,0.030358058,0.017980887
352,0.019483982,0.01128498,0.004017062,0.00904392,0.006320773,0.030452596,0.017897158
353,0.019536352,0.011314541,0.003988473,0.009021052,0.006328637,0.030561835,0.01776922
354,0.019585153,0.011329102,0.003968717,0.008991201,0.006338031,0.030670564,0.017620547
355,0.019628856,0.011330128,0.003952101,0.008953234,0.006344947,0.030758058,0.017439127
356,0.019665539,0.011321486,0.003935807,0.008920951,0.006347035,0.030823281,0.017259447
357,0.019697969,0.011305015,0.003911795,0.008896689,0.006339541,0.030857453,0.017092379
358,0.019726869,0.011282256,0.003891266,0.008886202,0.00632361,0.030872161,0.016954518
359,0.019754675,0.011270081,0.003877089,0.008891983,0.006303979,0.030865948,0.016844162
360,0.01978518,0.011271448,0.003867185,0.008920215,0.006280826,0.030850989,0.016772891
361,0.019815548,0.011286494,0.003860164,0.008958555,0.006260126,0.03083699,0.016734721
362,0.019851324,0.011316821,0.003867281,0.008997115,0.006250868,0.030837903,0.016725978
363,0.019885652,0.011360216,0.003866883,0.009027532,0.006253371,0.030855821,0.016732146
364,0.019908335,0.011409244,0.003855441,0.00904854,0.006264931,0.030900964,0.016754287
365,0.019915808,0.011455695,0.003836143,0.009049928,0.006286067,0.030981464,0.016786934
366,0.019907176,0.01150306,0.003807825,0.009039447,0.006309364,0.031087045,0.016800624
367,0.019874555,0.011551,0.003772424,0.009027806,0.006321234,0.031199142,0.016794825
368,0.019830967,0.011599751,0.003748157,0.009019212,0.006325406,0.031295224,0.016781771
369,0.019794252,0.011646871,0.003733609,0.009012326,0.006325585,0.031377823,0.016756199
370,0.019769745,0.011699639,0.003718777,0.009014622,0.006323195,0.031422787,0.016719039
371,0.019765581,0.011740144,0.003712121,0.009022824,0.006315924,0.031432488,0.016691863
372,0.019788607,0.011772023,0.003703322,0.009024094,0.006314043,0.031416492,0.016677322
373,0.019828803,0.011799709,0.003682129,0.009015923,0.006309439,0.031400852,0.016662308
374,0.019871892,0.011829217,0.003650511,0.008999943,0.00628894,0.03137995,0.016639539
375,0.019909382,0.011861225,0.003624765,0.008970472,0.006252284,0.03137428,0.016593547
376,0.019933685,0.011917017,0.003599083,0.008924844,0.006212529,0.031386909,0.016529571
377,0.019935937,0.011982656,0.003575583,0.00887555,0.006161879,0.031429329,0.016399252
378,0.019920375,0.012051915,0.0035571,0.008825039,0.00610793,0.031483585,0.016198133
379,0.0198867,0.012112895,0.003545547,0.00877361,0.006068313,0.031540651,0.015941586
380,0.019839627,0.012157149,0.003526753,0.008724677,0.006041476,0.031589805,0.015662288
381,0.019779818,0.012179993,0.00349818,0.008683726,0.006017345,0.031623421,0.015354579
382,0.019714277,0.01219048,0.003467248,0.008644634,0.006003312,0.031618394,0.015098263
383,0.019645816,0.012187592,0.003434558,0.008605175,0.005994563,0.031590092,0.014908709
384,0.019579607,0.012186026,0.003396478,0.008562977,0.005980209,0.0315522,0.014772728
385,0.019515998,0.012187669,0.00336066,0.008519357,0.00596178,0.031512755,0.014673025
386,0.019459213,0.012180935,0.003327798,0.008472613,0.005939504,0.031478251,0.01460846
387,0.019407715,0.012168207,0.003292844,0.008426575,0.005910293,0.031465498,0.014534356
388,0.019351512,0.012154687,0.003255609,0.008385038,0.005877103,0.031458094,0.014450044
389,0.019296259,0.012135404,0.003216392,0.008349166,0.005843969,0.031448126,0.014367388
390,0.019243741,0.012120223,0.003173534,0.008317291,0.005811508,0.031429243,0.014272748
391,0.019191235,0.012121332,0.003129659,0.008287174,0.00578296,0.031403261,0.014163865
392,0.019139761,0.012132542,0.003085394,0.008255303,0.00575901,0.031362111,0.014057547
393,0.019100018,0.012153485,0.003041533,0.008218949,0.005739374,0.031317267,0.013940142
394,0.019058326,0.012175871,0.003004113,0.008178455,0.005723239,0.031270366,0.013804712
395,0.019015175,0.012193172,0.002971837,0.008135135,0.005706122,0.031228525,0.013675289
396,0.018971351,0.012198618,0.002947288,0.00809349,0.005685234,0.031186548,0.013557635
397,0.018929808,0.012200324,0.002926392,0.008055626,0.005661259,0.031145393,0.013439539
398,0.018886912,0.012196779,0.00290789,0.008025634,0.005633196,0.031100999,0.013339447
399,0.01885382,0.012201733,0.002887448,0.008006861,0.005601236,0.031054787,0.013267609
400,0.018824507,0.0122126,0.00286667,0.007997169,0.005568559,0.031000251,0.013213038
401,0.018801227,0.012233199,0.00284154,0.007991817,0.005540544,0.030940469,0.013174464
402,0.018773691,0.012255755,0.002816789,0.007989514,0.005513512,0.030881696,0.013159379
403,0.018743166,0.012281098,0.002794034,0.007982531,0.005486705,0.030827338,0.013152978
404,0.018705262,0.012299064,0.002771293,0.007964716,0.005460442,0.030777676,0.013140058
405,0.018663817,0.012312157,0.002749625,0.007938922,0.005435896,0.03073665,0.013119364
406,0.018611541,0.012310336,0.002728307,0.007908583,0.005405973,0.030701885,0.013083356
407,0.0185605,0.012297299,0.002710615,0.00787368,0.005376403,0.03066535,0.013022994
408,0.018507195,0.012271106,0.002694323,0.007837629,0.005351282,0.030618691,0.012934068
409,0.018453059,0.012239469,0.002681831,0.007805376,0.005328375,0.030560606,0.012821552
410,0.018400645,0.01220095,0.002671177,0.007773217,0.005309713,0.030486081,0.01268135
411,0.018359106,0.012174146,0.002665219,0.007739018,0.005299485,0.03040168,0.012521731
412,0.018318473,0.012158704,0.002656295,0.007705404,0.005290243,0.03031006,0.01235393
413,0.01828194,0.012158962,0.002645017,0.007676929,0.005276265,0.030223849,0.012191673
414,0.018247398,0.012165356,0.002628299,0.007647348,0.005262521,0.030141597,0.012039485
415,0.01820875,0.012180896,0.002605825,0.007618368,0.005243119,0.030064837,0.011912489
416,0.018159753,0.012193687,0.002574564,0.007591031,0.005217829,0.029983601,0.011813701
417,0.018106741,0.01220358,0.002539173,0.007560928,0.005194592,0.029898866,0.011732722
418,0.018044946,0.012209444,0.002501518,0.007520471,0.005176513,0.029798541,0.011665898
419,0.017979438,0.012218374,0.0024661,0.007479458,0.005158021,0.029690586,0.011609019
420,0.017913678,0.012230284,0.002434028,0.007438117,0.005142385,0.029578996,0.01154862
421,0.017848445,0.01224355,0.002406218,0.007393876,0.00512854,0.029475656,0.011474102
422,0.017783413,0.012260099,0.002380559,0.007349696,0.005111748,0.029379362,0.011397448
423,0.017726963,0.01227242,0.002354087,0.007310237,0.005092486,0.02929475,0.01132261
424,0.017669956,0.01227357,0.002326244,0.007267391,0.005073628,0.029211705,0.011250958
425,0.017613426,0.012259577,0.002298493,0.007221386,0.005053774,0.029124618,0.011192497
426,0.017562575,0.012236284,0.002273989,0.007177561,0.00503341,0.029024493,0.011154037
427,0.017509712,0.012200956,0.002252278,0.00713584,0.005014123,0.028916383,0.011121384
428,0.017447503,0.012161866,0.002235666,0.007096287,0.004995545,0.028798434,0.011082196
429,0.017384201,0.01213211,0.002219742,0.007061336,0.004975345,0.02867936,0.0110416
430,0.017318348,0.012114853,0.002198102,0.007030611,0.004954918,0.02856485,0.010979969
431,0.017240438,0.012107842,0.002169255,0.006998831,0.004933167,0.028453646,0.010892455
432,0.017161684,0.012106536,0.002136507,0.006964221,0.004907873,0.028339018,0.010792049
433,0.017082174,0.012108267,0.002099638,0.006926414,0.004877334,0.028224335,0.010689991
434,0.016996888,0.012101843,0.002064193,0.006884404,0.004846628,0.028101247,0.010577379
435,0.016906065,0.012086519,0.002040748,0.006840489,0.004815016,0.027963158,0.010481023
